risk_aversion,execution_time_minutes,impact_cost_bps,timing_risk_bps,total_cost_bps
0.1,1.0000057673930884,1054.9574670780642,0.6379676749896827,1054.957473457741
0.12742749857031338,1.0000057673930884,1054.9574670780642,0.6379676749896827,1054.957473457741
0.16237767391887217,1.0000057673930884,1054.9574670780642,0.6379676749896827,1054.957473457741
0.20691380811147897,1.0000057673930884,1054.9574670780642,0.6379676749896827,1054.957473457741
0.26366508987303583,1.0000057673930884,1054.9574670780642,0.6379676749896827,1054.957473457741
0.33598182862837817,1.0000057673930884,1054.9574670780642,0.6379676749896827,1054.957473457741
0.42813323987193935,1.0000057673930884,1054.9574670780642,0.6379676749896827,1054.957473457741
0.5455594781168519,1.0000057673930884,1054.9574670780642,0.6379676749896827,1054.957473457741
0.6951927961775606,1.0000057673930884,1054.9574670780642,0.6379676749896827,1054.957473457741
0.8858667904100825,1.0000057673930884,1054.9574670780642,0.6379676749896827,1054.957473457741
1.1288378916846888,1.0000057673930884,1054.9574670780642,0.6379676749896827,1054.957473457741
1.438449888287663,1.0000057673930884,1054.9574670780642,0.6379676749896827,1054.957473457741
1.8329807108324356,1.0000057673930884,1054.9574670780642,0.6379676749896827,1054.957473457741
2.3357214690901213,1.0000057673930884,1054.9574670780642,0.6379676749896827,1054.957473457741
2.9763514416313175,1.0000057673930884,1054.9574670780642,0.6379676749896827,1054.957473457741
3.79269019073225,1.0000057673930884,1054.9574670780642,0.6379676749896827,1054.957473457741
4.832930238571752,1.0000057673930884,1054.9574670780642,0.6379676749896827,1054.957473457741
6.158482110660261,1.0000057673930884,1054.9574670780642,0.6379676749896827,1054.957473457741
7.847599703514611,1.0000057673930884,1054.9574670780642,0.6379676749896827,1054.957473457741
10.0,1.0000057673930884,1054.9574670780642,0.6379676749896827,1054.957473457741
